// concreteMediator mediator concreteColleague 
DP jdomain.jdraw.action.NewAction jdomain.jdraw.action.ContinuedAction jdomain.jdraw.action.LoseChanges
DP jdomain.jdraw.action.NewAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.undo.UndoManager
DP jdomain.jdraw.action.NewAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.ToolPanel
DP jdomain.jdraw.action.NewAction jdomain.jdraw.action.DrawAction jdomain.jdraw.action.LoseChanges
DP jdomain.jdraw.action.NewAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.MainFrame
DP jdomain.jdraw.action.SetFillToolAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.ToolPanel
DP jdomain.jdraw.action.SetFilledOvalToolAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.ToolPanel
DP jdomain.jdraw.action.SetLineToolAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.ToolPanel
DP jdomain.jdraw.action.SetRectangleToolAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.ToolPanel
DP jdomain.jdraw.action.CropAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.undo.UndoManager
DP jdomain.jdraw.action.CropAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.ToolPanel
DP jdomain.jdraw.action.CropAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.Tool
DP jdomain.jdraw.action.CropAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.ClipPanel
DP jdomain.jdraw.action.UndoAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.undo.UndoManager
DP jdomain.jdraw.action.FlipClipHorizontallyAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.Tool
DP jdomain.jdraw.action.FlipClipHorizontallyAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.ClipPanel
DP jdomain.jdraw.action.ToggleTransparencyAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.Tool
DP jdomain.jdraw.action.SetOvalToolAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.ToolPanel
DP jdomain.jdraw.action.SaveAsAction jdomain.jdraw.action.DrawAction jdomain.jdraw.action.SaveAction
DP jdomain.jdraw.action.SaveAsAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.MainFrame
DP jdomain.jdraw.action.DecreaseZoomAction jdomain.jdraw.gui.GridListener jdomain.jdraw.gui.FolderPanel
DP jdomain.jdraw.action.DecreaseZoomAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.FolderPanel
DP jdomain.jdraw.action.SetPixelToolAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.ToolPanel
DP jdomain.jdraw.action.AddFrameAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.Tool
DP jdomain.jdraw.action.ToggleGradientFillAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.ToolPanel
